feat,subject,train_sess,test_sess,classifier,accuracy
PSD,1,2,1,SVM,0.4
PSD,1,2,1,LDA,0.6
PSD,1,1,2,SVM,0.75
PSD,1,1,2,LDA,0.75
PSD,2,2,1,SVM,0.3
PSD,2,2,1,LDA,0.35
PSD,2,1,2,SVM,0.4
PSD,2,1,2,LDA,0.25
CCA,1,2,1,SVM,1.0
CCA,1,2,1,LDA,1.0
CCA,1,1,2,SVM,1.0
CCA,1,1,2,LDA,1.0
CCA,2,2,1,SVM,1.0
CCA,2,2,1,LDA,0.95
CCA,2,1,2,SVM,1.0
CCA,2,1,2,LDA,1.0
FBCCA,1,2,1,SVM,1.0
FBCCA,1,2,1,LDA,1.0
FBCCA,1,1,2,SVM,1.0
FBCCA,1,1,2,LDA,1.0
FBCCA,2,2,1,SVM,1.0
FBCCA,2,2,1,LDA,0.8
FBCCA,2,1,2,SVM,1.0
FBCCA,2,1,2,LDA,1.0
CCA-3ch,1,2,1,SVM,1.0
CCA-3ch,1,2,1,LDA,1.0
CCA-3ch,1,1,2,SVM,1.0
CCA-3ch,1,1,2,LDA,1.0
CCA-3ch,2,2,1,SVM,0.7
CCA-3ch,2,2,1,LDA,0.7
CCA-3ch,2,1,2,SVM,0.65
CCA-3ch,2,1,2,LDA,0.65
FBCCA-3ch,1,2,1,SVM,1.0
FBCCA-3ch,1,2,1,LDA,1.0
FBCCA-3ch,1,1,2,SVM,1.0
FBCCA-3ch,1,1,2,LDA,1.0
FBCCA-3ch,2,2,1,SVM,0.65
FBCCA-3ch,2,2,1,LDA,0.7
FBCCA-3ch,2,1,2,SVM,0.65
FBCCA-3ch,2,1,2,LDA,0.7
